"Company Name","Industry","Symbol","Series","ISIN Code"
"360 ONE WAM Ltd.","Financial Services","360ONE.NS","EQ","INE466L01038"
"3M India Ltd.","Diversified","3MINDIA.NS","EQ","INE470A01017"
"ABB India Ltd.","Capital Goods","ABB.NS","EQ","INE117A01022"
"ACC Ltd.","Construction Materials","ACC.NS","EQ","INE012A01025"
"ACME Solar Holdings Ltd.","Power","ACMESOLAR.NS","EQ","INE622W01025"
"AIA Engineering Ltd.","Capital Goods","AIAENG.NS","EQ","INE212H01026"
"APL Apollo Tubes Ltd.","Capital Goods","APLAPOLLO.NS","EQ","INE702C01027"
"AU Small Finance Bank Ltd.","Financial Services","AUBANK.NS","EQ","INE949L01017"
"AWL Agri Business Ltd.","Fast Moving Consumer Goods","AWL.NS","EQ","INE699H01024"
"Aadhar Housing Finance Ltd.","Financial Services","AADHARHFC.NS","EQ","INE883F01010"
"Aarti Industries Ltd.","Chemicals","AARTIIND.NS","EQ","INE769A01020"
"Aavas Financiers Ltd.","Financial Services","AAVAS.NS","EQ","INE216P01012"
"Abbott India Ltd.","Healthcare","ABBOTINDIA.NS","EQ","INE358A01014"
"Action Construction Equipment Ltd.","Capital Goods","ACE.NS","EQ","INE731H01025"
"Adani Energy Solutions Ltd.","Power","ADANIENSOL.NS","EQ","INE931S01010"
"Adani Enterprises Ltd.","Metals & Mining","ADANIENT.NS","EQ","INE423A01024"
"Adani Green Energy Ltd.","Power","ADANIGREEN.NS","EQ","INE364U01010"
"Adani Ports and Special Economic Zone Ltd.","Services","ADANIPORTS.NS","EQ","INE742F01042"
"Adani Power Ltd.","Power","ADANIPOWER.NS","EQ","INE814H01011"
"Adani Total Gas Ltd.","Oil Gas & Consumable Fuels","ATGL.NS","EQ","INE399L01023"
"Aditya Birla Capital Ltd.","Financial Services","ABCAPITAL.NS","EQ","INE674K01013"
"Aditya Birla Fashion and Retail Ltd.","Consumer Services","ABFRL.NS","EQ","INE647O01011"
"Aditya Birla Real Estate Ltd.","Forest Materials","ABREL.NS","EQ","INE055A01016"
"Aditya Birla Sun Life AMC Ltd.","Financial Services","ABSLAMC.NS","EQ","INE404A01024"
"Aegis Logistics Ltd.","Oil Gas & Consumable Fuels","AEGISLOG.NS","EQ","INE208C01025"
"Afcons Infrastructure Ltd.","Construction","AFCONS.NS","EQ","INE101I01011"
"Affle 3i Ltd.","Information Technology","AFFLE.NS","EQ","INE00WC01027"
"Ajanta Pharmaceuticals Ltd.","Healthcare","AJANTPHARM.NS","EQ","INE031B01049"
"Akums Drugs and Pharmaceuticals Ltd.","Healthcare","AKUMS.NS","EQ","INE09XN01023"
"Alembic Pharmaceuticals Ltd.","Healthcare","APLLTD.NS","EQ","INE901L01018"
"Alivus Life Sciences Ltd.","Healthcare","ALIVUS.NS","EQ","INE03Q201024"
"Alkem Laboratories Ltd.","Healthcare","ALKEM.NS","EQ","INE540L01014"
"Alkyl Amines Chemicals Ltd.","Chemicals","ALKYLAMINE.NS","EQ","INE150B01039"
"Alok Industries Ltd.","Textiles","ALOKINDS.NS","EQ","INE270A01029"
"Amara Raja Energy & Mobility Ltd.","Automobile and Auto Components","ARE&M.NS","EQ","INE885A01032"
"Amber Enterprises India Ltd.","Consumer Durables","AMBER.NS","EQ","INE371P01015"
"Ambuja Cements Ltd.","Construction Materials","AMBUJACEM.NS","EQ","INE079A01024"
"Anand Rathi Wealth Ltd.","Financial Services","ANANDRATHI.NS","EQ","INE463V01026"
"Anant Raj Ltd.","Realty","ANANTRAJ.NS","EQ","INE242C01024"
"Angel One Ltd.","Financial Services","ANGELONE.NS","EQ","INE732I01013"
"Apar Industries Ltd.","Capital Goods","APARINDS.NS","EQ","INE372A01015"
"Apollo Hospitals Enterprise Ltd.","Healthcare","APOLLOHOSP.NS","EQ","INE437A01024"
"Apollo Tyres Ltd.","Automobile and Auto Components","APOLLOTYRE.NS","EQ","INE438A01022"
"Aptus Value Housing Finance India Ltd.","Financial Services","APTUS.NS","EQ","INE852O01025"
"Asahi India Glass Ltd.","Automobile and Auto Components","ASAHIINDIA.NS","EQ","INE439A01020"
"Ashok Leyland Ltd.","Capital Goods","ASHOKLEY.NS","EQ","INE208A01029"
"Asian Paints Ltd.","Consumer Durables","ASIANPAINT.NS","EQ","INE021A01026"
"Aster DM Healthcare Ltd.","Healthcare","ASTERDM.NS","EQ","INE914M01019"
"AstraZenca Pharma India Ltd.","Healthcare","ASTRAZEN.NS","EQ","INE203A01020"
"Astral Ltd.","Capital Goods","ASTRAL.NS","EQ","INE006I01046"
"Atul Ltd.","Chemicals","ATUL.NS","EQ","INE100A01010"
"Aurobindo Pharma Ltd.","Healthcare","AUROPHARMA.NS","EQ","INE406A01037"
"Authum Investment & Infrastructure Ltd.","Financial Services","AIIL.NS","EQ","INE206F01022"
"Avenue Supermarts Ltd.","Consumer Services","DMART.NS","EQ","INE192R01011"
"Axis Bank Ltd.","Financial Services","AXISBANK.NS","EQ","INE238A01034"
"BASF India Ltd.","Chemicals","BASF.NS","EQ","INE373A01013"
"BEML Ltd.","Capital Goods","BEML.NS","EQ","INE258A01016"
"BLS International Services Ltd.","Consumer Services","BLS.NS","EQ","INE153T01027"
"BSE Ltd.","Financial Services","BSE.NS","EQ","INE118H01025"
"Bajaj Auto Ltd.","Automobile and Auto Components","BAJAJ-AUTO.NS","EQ","INE917I01010"
"Bajaj Finance Ltd.","Financial Services","BAJFINANCE.NS","EQ","INE296A01032"
"Bajaj Finserv Ltd.","Financial Services","BAJAJFINSV.NS","EQ","INE918I01026"
"Bajaj Holdings & Investment Ltd.","Financial Services","BAJAJHLDNG.NS","EQ","INE118A01012"
"Bajaj Housing Finance Ltd.","Financial Services","BAJAJHFL.NS","EQ","INE377Y01014"
"Balkrishna Industries Ltd.","Automobile and Auto Components","BALKRISIND.NS","EQ","INE787D01026"
"Balrampur Chini Mills Ltd.","Fast Moving Consumer Goods","BALRAMCHIN.NS","EQ","INE119A01028"
"Bandhan Bank Ltd.","Financial Services","BANDHANBNK.NS","EQ","INE545U01014"
"Bank of Baroda","Financial Services","BANKBARODA.NS","EQ","INE028A01039"
"Bank of India","Financial Services","BANKINDIA.NS","EQ","INE084A01016"
"Bank of Maharashtra","Financial Services","MAHABANK.NS","EQ","INE457A01014"
"Bata India Ltd.","Consumer Durables","BATAINDIA.NS","EQ","INE176A01028"
"Bayer Cropscience Ltd.","Chemicals","BAYERCROP.NS","EQ","INE462A01022"
"Berger Paints India Ltd.","Consumer Durables","BERGEPAINT.NS","EQ","INE463A01038"
"Bharat Dynamics Ltd.","Capital Goods","BDL.NS","EQ","INE171Z01026"
"Bharat Electronics Ltd.","Capital Goods","BEL.NS","EQ","INE263A01024"
"Bharat Forge Ltd.","Automobile and Auto Components","BHARATFORG.NS","EQ","INE465A01025"
"Bharat Heavy Electricals Ltd.","Capital Goods","BHEL.NS","EQ","INE257A01026"
"Bharat Petroleum Corporation Ltd.","Oil Gas & Consumable Fuels","BPCL.NS","EQ","INE029A01011"
"Bharti Airtel Ltd.","Telecommunication","BHARTIARTL.NS","EQ","INE397D01024"
"Bharti Hexacom Ltd.","Telecommunication","BHARTIHEXA.NS","EQ","INE343G01021"
"Bikaji Foods International Ltd.","Fast Moving Consumer Goods","BIKAJI.NS","EQ","INE00E101023"
"Biocon Ltd.","Healthcare","BIOCON.NS","EQ","INE376G01013"
"Birlasoft Ltd.","Information Technology","BSOFT.NS","EQ","INE836A01035"
"Blue Dart Express Ltd.","Services","BLUEDART.NS","EQ","INE233B01017"
"Blue Star Ltd.","Consumer Durables","BLUESTARCO.NS","EQ","INE472A01039"
"Bombay Burmah Trading Corporation Ltd.","Fast Moving Consumer Goods","BBTC.NS","EQ","INE050A01025"
"Bosch Ltd.","Automobile and Auto Components","BOSCHLTD.NS","EQ","INE323A01026"
"Brainbees Solutions Ltd.","Consumer Services","FIRSTCRY.NS","EQ","INE02RE01045"
"Brigade Enterprises Ltd.","Realty","BRIGADE.NS","EQ","INE791I01019"
"Britannia Industries Ltd.","Fast Moving Consumer Goods","BRITANNIA.NS","EQ","INE216A01030"
"C.E. Info Systems Ltd.","Information Technology","MAPMYINDIA.NS","EQ","INE0BV301023"
"CCL Products (I) Ltd.","Fast Moving Consumer Goods","CCL.NS","EQ","INE421D01022"
"CESC Ltd.","Power","CESC.NS","EQ","INE486A01021"
"CG Power and Industrial Solutions Ltd.","Capital Goods","CGPOWER.NS","EQ","INE067A01029"
"CRISIL Ltd.","Financial Services","CRISIL.NS","EQ","INE007A01025"
"Campus Activewear Ltd.","Consumer Durables","CAMPUS.NS","EQ","INE278Y01022"
"Can Fin Homes Ltd.","Financial Services","CANFINHOME.NS","EQ","INE477A01020"
"Canara Bank","Financial Services","CANBK.NS","EQ","INE476A01022"
"Caplin Point Laboratories Ltd.","Healthcare","CAPLIPOINT.NS","EQ","INE475E01026"
"Capri Global Capital Ltd.","Financial Services","CGCL.NS","EQ","INE180C01042"
"Carborundum Universal Ltd.","Capital Goods","CARBORUNIV.NS","EQ","INE120A01034"
"Castrol India Ltd.","Oil Gas & Consumable Fuels","CASTROLIND.NS","EQ","INE172A01027"
"Ceat Ltd.","Automobile and Auto Components","CEATLTD.NS","EQ","INE482A01020"
"Central Bank of India","Financial Services","CENTRALBK.NS","EQ","INE483A01010"
"Central Depository Services (India) Ltd.","Financial Services","CDSL.NS","EQ","INE736A01011"
"Century Plyboards (India) Ltd.","Consumer Durables","CENTURYPLY.NS","EQ","INE348B01021"
"Cera Sanitaryware Ltd","Consumer Durables","CERA.NS","EQ","INE739E01017"
"Chalet Hotels Ltd.","Consumer Services","CHALET.NS","EQ","INE427F01016"
"Chambal Fertilizers & Chemicals Ltd.","Chemicals","CHAMBLFERT.NS","EQ","INE085A01013"
"Chennai Petroleum Corporation Ltd.","Oil Gas & Consumable Fuels","CHENNPETRO.NS","EQ","INE178A01016"
"Cholamandalam Financial Holdings Ltd.","Financial Services","CHOLAHLDNG.NS","EQ","INE149A01033"
"Cholamandalam Investment and Finance Company Ltd.","Financial Services","CHOLAFIN.NS","EQ","INE121A01024"
"Cipla Ltd.","Healthcare","CIPLA.NS","EQ","INE059A01026"
"City Union Bank Ltd.","Financial Services","CUB.NS","EQ","INE491A01021"
"Clean Science and Technology Ltd.","Chemicals","CLEAN.NS","EQ","INE227W01023"
"Coal India Ltd.","Oil Gas & Consumable Fuels","COALINDIA.NS","EQ","INE522F01014"
"Cochin Shipyard Ltd.","Capital Goods","COCHINSHIP.NS","EQ","INE704P01025"
